id;nb_previous_loans;avg_amount_loans_previous;age;years_on_the_job;flag_own_car;status
5009033;16;130.37344;51;-999;0;0
5009304;34;131.72919;60;-999;0;0
5009355;25;134.17929;54;14;0;0
5009429;2;115.19316;24;3;0;0
5010070;10;126.83809;30;2;0;0
5010236;14;131.62025;45;12;1;0
5010338;2;122.40351;63;-999;0;0
5010511;11;124.607834;38;12;1;0
5010624;29;128.63564;61;-999;0;0
5010629;2;104.63937;53;5;0;0
5011029;15;124.689186;45;3;0;0
5018442;25;131.29944;55;15;0;0
5021819;37;116.036514;31;5;1;0
5021944;16;121.57883;34;1;1;0
5021994;4;144.40855;25;2;1;0
5022024;16;123.43147;27;4;1;0
5022285;40;131.33821;41;9;0;0
5022944;6;133.46527;38;4;1;0
5023011;36;129.92207;31;7;1;0
5023430;56;132.68849;63;-999;0;0
5023675;3;135.03215;44;4;0;0
5024412;11;125.43411;51;14;1;0
5024771;15;127.843544;23;3;1;0
5024891;8;114.721176;59;9;1;0
5025981;19;123.655304;32;1;0;0
5026273;1;156.26448;38;1;0;0
5026611;7;128.94249;63;-999;1;0
5028624;7;146.01212;39;4;1;0
5029350;13;118.99578;30;1;1;0
5029386;26;119.44777;57;-999;0;0
5029607;31;131.55196;41;19;1;0
5029625;7;120.12828;22;4;0;0
5029628;2;106.0212;55;-999;0;0
5029637;26;133.22322;40;6;0;0
5029692;31;118.460976;55;15;1;0
5033529;27;144.0964;52;-999;1;0
5033694;6;135.52179;37;1;0;0
5033705;10;113.21659;64;-999;0;0
5033755;4;144.15768;66;-999;1;0
5033899;43;125.24695;59;7;1;0
5037052;9;129.08899;43;8;1;0
5038681;7;114.568375;50;-999;0;0
5038686;3;121.00145;55;-999;0;0
5038750;6;116.545105;39;2;1;0
5041388;11;157.73503;41;18;1;0
5041762;13;135.87077;41;10;0;0
5044479;2;136.9226;49;6;0;0
5044757;26;122.40863;37;4;0;0
5045134;18;130.40729;33;7;0;0
5045138;18;118.3113;33;7;0;0
